,bin,OCURRED,LAG
1065,983,07/12/21,0
1066,984,07/11/21,0
1067,985,07/11/21,0
1068,986,07/10/21,0
1069,987,07/09/21,0
1070,988,07/09/21,0
1071,989,07/09/21,0
1072,990,07/08/21,0
1073,991,07/08/21,0
1074,44,07/08/21,0
1075,992,07/07/21,0
1076,993,07/07/21,0
1077,994,07/06/21,0
1078,995,07/06/21,0
1079,996,07/06/21,0
1080,997,07/06/21,0
1081,998,07/05/21,0
1082,999,07/04/21,0
1083,1000,07/04/21,0
1084,1001,07/04/21,0
1085,1002,07/04/21,0
1086,1003,07/04/21,0
1087,1004,07/02/21,0
1088,1005,07/01/21,0
1089,1006,07/01/21,0
1090,1007,07/01/21,0
1091,689,06/30/21,0
1092,1008,06/30/21,0
1093,1009,06/30/21,0
1094,1010,06/29/21,0
1095,1011,06/29/21,0
1096,376,06/28/21,0
1097,1012,06/28/21,0
1098,1013,06/28/21,0
1099,10,06/28/21,0
1100,1014,06/28/21,0
1101,1015,06/28/21,0
1102,1016,06/27/21,0
1103,1017,06/27/21,0
1104,1018,06/27/21,0
1105,1019,06/26/21,0
1106,1020,06/26/21,0
1107,270,06/26/21,0
1108,1021,06/25/21,0
1109,1022,06/25/21,0
1110,1023,06/25/21,0
1111,1024,06/25/21,0
1112,1025,06/25/21,0
1113,1026,06/25/21,0
1114,1027,06/25/21,0
1115,1028,06/24/21,0
1116,1029,06/24/21,0
1117,1030,06/24/21,0
1118,1031,06/24/21,0
1119,1032,06/24/21,0
1120,1033,06/24/21,0
1121,1034,06/24/21,0
1122,1035,06/24/21,0
1123,1036,06/24/21,0
1124,1037,06/23/21,0
1125,1038,06/23/21,0
1126,1039,06/23/21,0
1127,1040,06/23/21,0
1128,1041,06/23/21,0
1129,1042,06/23/21,0
1130,1043,06/23/21,0
1131,1044,06/22/21,0
1132,1045,06/22/21,0
1133,1046,06/22/21,0
1134,1047,06/22/21,0
1135,1048,06/22/21,0
1136,479,06/21/21,0
1137,1049,06/21/21,0
1138,1050,06/21/21,0
1139,1051,06/20/21,0
1140,1052,06/20/21,0
1141,1053,06/19/21,0
1142,1054,06/19/21,0
